,count,mean,std,min,25%,50%,75%,max
age,1044.0,16.726053639846743,1.239974693164951,15.0,16.0,17.0,18.0,22.0
medu,1044.0,2.603448275862069,1.124906552508351,0.0,2.0,3.0,4.0,4.0
fedu,1044.0,2.3879310344827585,1.0999380837775738,0.0,1.0,2.0,3.0,4.0
traveltime,1044.0,1.5229885057471264,0.7317274088255359,1.0,1.0,1.0,2.0,4.0
studytime,1044.0,1.9703065134099618,0.8343531961414838,1.0,1.0,2.0,2.0,4.0
failures,1044.0,0.26436781609195403,0.6561417798335618,0.0,0.0,0.0,0.0,3.0
famrel,1044.0,3.935823754789272,0.9334007716663569,1.0,4.0,4.0,5.0,5.0
freetime,1044.0,3.2011494252873565,1.0315068335871416,1.0,3.0,3.0,4.0,5.0
goout,1044.0,3.1561302681992336,1.1525746602053941,1.0,2.0,3.0,4.0,5.0
dalc,1044.0,1.4942528735632183,0.9117142815596229,1.0,1.0,1.0,2.0,5.0
walc,1044.0,2.2844827586206895,1.285104806261862,1.0,1.0,2.0,3.0,5.0
health,1044.0,3.543103448275862,1.4247034122490232,1.0,3.0,4.0,5.0,5.0
absences,1044.0,4.434865900383142,6.210016564763437,0.0,0.0,2.0,6.0,75.0
student_success,1044.0,0.7796934865900383,0.41465195459260595,0.0,1.0,1.0,1.0,1.0
