,count,unique,top,freq,mean,std,min,25%,50%,75%,max
school,649,2,GP,423,,,,,,,
sex,649,2,F,383,,,,,,,
age,649.0,,,,16.7442218798151,1.2181376394800618,15.0,16.0,17.0,18.0,22.0
address,649,2,U,452,,,,,,,
famsize,649,2,GT3,457,,,,,,,
Pstatus,649,2,T,569,,,,,,,
Medu,649.0,,,,2.514637904468413,1.1345519999533142,0.0,2.0,2.0,4.0,4.0
Fedu,649.0,,,,2.3066255778120186,1.099930911140804,0.0,1.0,2.0,3.0,4.0
Mjob,649,5,other,258,,,,,,,
Fjob,649,5,other,367,,,,,,,
reason,649,4,course,285,,,,,,,
guardian,649,3,mother,455,,,,,,,
traveltime,649.0,,,,1.568567026194145,0.748660086353414,1.0,1.0,1.0,2.0,4.0
studytime,649.0,,,,1.9306625577812018,0.8295095746366191,1.0,1.0,2.0,2.0,4.0
failures,649.0,,,,0.2218798151001541,0.5932351492649646,0.0,0.0,0.0,0.0,3.0
schoolsup,649,2,no,581,,,,,,,
famsup,649,2,yes,398,,,,,,,
paid,649,2,no,610,,,,,,,
activities,649,2,no,334,,,,,,,
nursery,649,2,yes,521,,,,,,,
higher,649,2,yes,580,,,,,,,
internet,649,2,yes,498,,,,,,,
romantic,649,2,no,410,,,,,,,
famrel,649.0,,,,3.930662557781202,0.9557168913381906,1.0,4.0,4.0,5.0,5.0
freetime,649.0,,,,3.180277349768875,1.0510925753570612,1.0,3.0,3.0,4.0,5.0
goout,649.0,,,,3.184899845916795,1.175766113842308,1.0,2.0,3.0,4.0,5.0
Dalc,649.0,,,,1.50231124807396,0.9248344305673313,1.0,1.0,1.0,2.0,5.0
Walc,649.0,,,,2.280431432973806,1.2843799719490272,1.0,1.0,2.0,3.0,5.0
health,649.0,,,,3.536209553158706,1.4462590500910721,1.0,2.0,4.0,5.0,5.0
absences,649.0,,,,3.6594761171032357,4.640758808397126,0.0,0.0,2.0,6.0,32.0
G1,649.0,,,,11.399075500770415,2.745265128446369,0.0,10.0,11.0,13.0,19.0
G2,649.0,,,,11.570107858243452,2.913638664303868,0.0,10.0,11.0,13.0,19.0
G3,649.0,,,,11.906009244992296,3.2306562428048045,0.0,10.0,12.0,14.0,19.0
